cyklar	temp
6	12
5	13
4	12
2	12
0	13
1	12
0	14
0	2
30	10
56	23
52	12
61	12
107	12
80	12
49	12
75	12
100	12
75	12
34	13
31	13
21	13
28	14
9	14
10	14
7	12
7	12
4	12
5	13
1	12
6	14
11	12
9	12
17	13
41	14
46	12
62	12
68	114
70	12
56	14
55	12
53	12
46	14
49	12
25	12
24	11
18	13
12	12
17	12
10
9
5
4
2
16
15
10
13
17
28
27
48
42
70
50
59
48
34
18
27
12
9
4
1
0
2
4
2
9
59
116
69
53
66
78
80
0
78
105
136
126
72
60
33
25
16
2
1
0
0
0
2
9
53
87
63
38
40
57
50
57
50
74
104
89
67
41
0
0
22
18
11
3
1
0
1
3
9
7
10
20
26
43
48
44
52
78
82
43
56
44
23
25
11
4
0
2
0
3
2
11
37
67
102
37
44
84
66
74
54
100
104
93
76
188
132
40
11
6
4
0
1
0
2
5
44
65
51
28
52
70
81
57
60
69
43
48
33
20
6
14
18
9
5
0
0
2
1
3
6
10
18
25
43
84
92
85
69
51
36
44
54
42
20
0
30
24
23
13
17
2
3
4
11
3
12
15
28
44
50
47
46
49
48
43
25
16
17
6
5
6
0
0
0
3
2
7
57
108
70
46
51
52
46
54
68
74
111
122
81
52
45
30
20
6
4
1
3
0
4
8
80
101
66
59
30
6
84
69
90
92
136
121
95
0
47
49
17
11
2
0
1
3
2
10
64
88
77
52
73
101
87
94
61
103
0
0
0
53
51
29
17
3
6
2
4
1
11
53
